const_velocity_final_rollout_error_km,const_velocity_mean_rollout_error_km,direct_final_rollout_error_km,direct_mean_rollout_error_km,direct_model,lat_max,lat_min,lon_max,lon_min,lstm_final_rollout_error_km,lstm_mean_rollout_error_km,lstm_model,observed_days,observed_displacement_km,path_copy_index,path_id,path_year,persistence_final_rollout_error_km,persistence_mean_rollout_error_km,records,rollout_steps,setup,source_bird_id,transformer_final_rollout_error_km,transformer_mean_rollout_error_km,transformer_model
4158.38577213014,2028.7606914337473,645.2463554741877,524.0420517320064,direct_mlp_last_day_k1,47.92222675,41.64705355,8.6020267,0.9430285,86.14254671935424,102.80313733274875,triline_lstm_2l_k7,30,739.2551885667646,1,Louis_DER_AU050_eobs_3264__2021__southbound_01,2021,190.8107325405351,190.42559032833765,78,48,setup_30km,Louis / DER AU050 (eobs 3264),488.08154855317616,348.4515888402425,triline_transformer_4l_k7
34.93579984515639,14.901009908074183,683.3548871427157,495.79975491983646,direct_mlp_last_day_k1,47.9113033,41.53766505,8.5728078,0.6143338,12.867310461400328,10.209605800754424,triline_lstm_2l_k7,30,918.0872223253929,1,Louis_DER_AU050_eobs_3264__2022__southbound_01,2022,29.46117966866473,12.527351722307857,61,31,setup_30km,Louis / DER AU050 (eobs 3264),388.99489845973625,245.9831140106895,triline_transformer_4l_k7
270.31335295527924,279.05292446837984,369.889534419405,294.9041933828147,direct_mlp_last_day_k1,47.93253095,41.585689900000006,8.5819782,0.6089633,268.63716149378837,170.42498405824153,triline_lstm_2l_k7,46,51.55545235761921,1,Louis_DER_AU050_eobs_3264__2023__southbound_01,2023,891.2436996715168,617.0258474194706,59,13,setup_30km,Louis / DER AU050 (eobs 3264),242.6797131566901,132.4782388883413,triline_transformer_4l_k7
1422.6460928288786,523.6755437586186,564.7747111647825,567.8337336436425,direct_mlp_last_day_k1,47.8112431,34.2576062,8.89145865,-6.580606,652.0232075930196,486.6981105912686,triline_lstm_2l_k7,83,55.614786674948434,1,Mirabell_plus_DER_AN910_eobs_3907__2019__southbound_01,2019,1925.77232282804,1496.1088755700018,139,56,setup_30km,Mirabell + / DER AN910 (eobs 3907),411.86274964953384,376.78880586836897,triline_transformer_4l_k7
2258.3434942690683,910.0666937573632,484.57790737120683,288.5663818592773,direct_mlp_last_day_k1,47.8120999,38.5332653,8.8864307,-4.36811535,500.21689462028513,497.75835458936103,triline_lstm_2l_k7,76,213.05029991147262,1,Mirabell_plus_DER_AN910_eobs_3907__2020__southbound_01,2020,1273.057687668923,1051.8196461660764,92,16,setup_30km,Mirabell + / DER AN910 (eobs 3907),327.2509793177736,404.81378939524654,triline_transformer_4l_k7
2170.410561035294,894.7647935277904,1824.6424974445983,1108.6981075656836,direct_mlp_last_day_k1,49.89955475,41.5241537,8.538199500000001,0.43048175,170.95969983937945,186.48443653370668,triline_lstm_2l_k7,38,121.1423927728407,1,Sara_plus_DER_AU017_eobs_3941__2019__southbound_01,2019,1009.5723332824965,926.1513503537541,80,42,setup_30km,Sara + / DER AU017 (eobs 3941),734.5032337650018,512.290292911593,triline_transformer_4l_k7
4150.553387658273,1744.169288406533,142.49757746504696,139.17686346604583,direct_mlp_last_day_k1,47.8074046,41.53495435000001,8.88580825,0.4972057,86.29179854507338,145.56192267376937,triline_lstm_2l_k7,65,63.08789080416817,1,Sierit_DER_AN858_eobs2561__2020__southbound_01,2020,897.6793414475592,877.8363891002459,139,74,setup_30km,Sierit  / DER AN858 (eobs2561),480.7076079734309,349.3563491983942,triline_transformer_4l_k7
1886.0217865002203,779.0468764283528,132.11301598264183,151.45955280235043,direct_mlp_last_day_k1,47.8109808,41.53828245,8.8902253,0.5537554,186.91340295267818,187.9049108713937,triline_lstm_2l_k7,31,112.41877922382425,1,Sierit_DER_AN858_eobs2561__2021__southbound_01,2021,844.0610264501253,752.8186210474078,66,35,setup_30km,Sierit  / DER AN858 (eobs2561),359.2261044079078,224.7528747440347,triline_transformer_4l_k7
715.1709469005762,357.96270973097455,135.44705822016002,77.64368228641924,direct_mlp_last_day_k1,47.7542203,41.5365587,9.06452145,0.0522777,259.0451595651487,162.6357618867526,triline_lstm_2l_k7,30,955.5466267824416,1,Zozu_plus_DER_AL581_eobs2541__2019__southbound_01,2019,6.6040034150822695,5.505491079667578,145,115,setup_30km,Zozu + / DER AL581 (eobs2541),621.3279131789051,434.5695349280972,triline_transformer_4l_k7
3058.6654226807264,1221.3313547327823,1350.9851359229417,1038.4228661588586,direct_mlp_last_day_k1,47.8050238,41.5266963,9.0594015,0.4314196,88.1706653996608,94.58116707685879,triline_lstm_2l_k7,83,70.1236088413661,1,Zozu_plus_DER_AL581_eobs2541__2020__southbound_01,2020,901.4103861683019,774.5059033413545,136,53,setup_30km,Zozu + / DER AL581 (eobs2541),692.0790546500562,497.75589346646166,triline_transformer_4l_k7
