mean_error_km,median_error_km,p90_error_km,p95_error_km,stationary_error_mean_km,fly_error_mean_km,migration50_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,gated_fly_error_mean_km,gated_migration50_error_mean_km,fly_threshold,fly_tp,fly_fp,fly_tn,fly_fn,fly_accuracy,fly_precision,fly_recall,fly_specificity,fly_f1,fly_false_positive_rate,model,best_epoch,best_val_loss,train_samples,test_samples,params,k,weather,runtime_seconds,model_name
20.89598846435547,6.095788955688477,57.519989013671875,96.17523193359375,8.150739669799805,65.48456573486328,94.38916778564453,62.8757438659668,45.3848762512207,141.8818359375,176.5682830810547,7.920773506164551,76.02226257324219,93.18706512451172,0.6000000000000001,479,205,2048,165,0.8722816706938212,0.7002923976608187,0.7437888198757764,0.9090102086107412,0.7213855421686747,0.09098979138925876,triline_lstm_6l_k7,10,2.37771796167905,9419,2897,12838212,7,without_weather,123.76730108261108,triline_lstm_6l
30.510034561157227,19.91362190246582,63.74882888793945,94.83454132080078,19.56100845336914,68.81462860107422,94.36447143554688,70.67462921142578,54.70906066894531,142.23178100585938,180.7362060546875,18.520065307617188,80.90985107421875,94.8331527709961,0.7000000000000001,473,193,2060,171,0.8743527787366241,0.7102102102102102,0.734472049689441,0.9143364403018198,0.7221374045801526,0.08566355969818021,triline_transformer_v2_k7,50,2.2968030744558536,9419,2897,3289412,7,without_weather,87.00306844711304,triline_transformer_v2
28.101144790649414,16.647199630737305,63.386444091796875,93.81859588623047,16.990036010742188,66.97276306152344,91.11264038085938,69.92491149902344,54.90827178955078,139.04306030273438,174.05917358398438,16.0505428314209,78.61678314208984,90.45124053955078,0.7000000000000001,466,182,2071,178,0.875733517431826,0.7191358024691358,0.7236024844720497,0.9192188193519751,0.7213622291021672,0.08078118064802485,triline_transformer_v3_k7,32,2.319779379268247,9419,2897,3389252,7,without_weather,49.20911908149719,triline_transformer_v3
30.40040397644043,20.67420768737793,61.874507904052734,93.06853485107422,20.169281005859375,66.19344329833984,92.20640563964844,68.50529479980469,52.9369010925293,144.49472045898438,176.749267578125,20.0248966217041,77.28211975097656,91.16873931884766,0.6500000000000001,460,160,2093,184,0.8812564722126338,0.7419354838709677,0.7142857142857143,0.9289835774522859,0.7278481012658228,0.07101642254771416,triline_transformer_v3_alibi_k7,8,2.3193254846106077,9419,2897,3387204,7,without_weather,28.925114631652832,triline_transformer_v3_alibi
29.43416976928711,18.75770378112793,61.1916618347168,91.75743103027344,18.305736541748047,67.66448974609375,91.66687774658203,69.53682708740234,54.580284118652344,147.10386657714844,179.8850555419922,17.964963912963867,77.79962158203125,90.82884979248047,0.6000000000000001,432,148,1872,156,0.8834355828220859,0.7448275862068966,0.7346938775510204,0.9267326732673268,0.7397260273972602,0.07326732673267326,triline_lstm_2l_k14,10,2.295552127931747,8611,2608,340932,14,without_weather,14.661146879196167,triline_lstm_2l
22.01639747619629,6.670530319213867,61.366268157958984,93.5114517211914,9.13180160522461,66.27981567382812,90.01707458496094,71.4525146484375,54.54912567138672,144.25990295410156,177.07154846191406,7.9717698097229,78.28848266601562,89.6607894897461,0.7000000000000001,433,144,1876,155,0.8853527607361963,0.7504332755632582,0.7363945578231292,0.9287128712871288,0.7433476394849785,0.07128712871287128,triline_lstm_4l_k14,9,2.3029158012998616,8611,2608,2233412,14,without_weather,23.25878930091858,triline_lstm_4l
21.328529357910156,5.876653671264648,56.729461669921875,98.63291931152344,7.710458755493164,68.11170196533203,96.91584014892578,67.76806640625,45.91862869262695,153.16754150390625,188.61032104492188,7.271406173706055,80.40758514404297,97.22858428955078,0.55,441,165,1855,147,0.8803680981595092,0.7277227722772277,0.75,0.9183168316831684,0.7386934673366834,0.08168316831683169,triline_lstm_6l_k14,7,2.3245585718037893,8611,2608,12838212,14,without_weather,25.861701250076294,triline_lstm_6l
25.639122009277344,12.417814254760742,65.78360748291016,99.54951477050781,13.12783432006836,68.62007904052734,91.04334259033203,69.06195068359375,53.96369934082031,136.51808166503906,169.21424865722656,12.211181640625,78.93034362792969,90.43595123291016,0.6500000000000001,443,173,1847,145,0.8780674846625767,0.7191558441558441,0.7534013605442177,0.9143564356435644,0.7358803986710963,0.08564356435643565,triline_transformer_v2_k14,24,2.312506848317714,8611,2608,3291204,14,without_weather,39.97083830833435,triline_transformer_v2
29.80924415588379,18.930320739746094,66.84445190429688,99.23760986328125,18.71940803527832,67.906982421875,89.98992919921875,74.1569595336914,61.699214935302734,135.59779357910156,176.67100524902344,17.90265655517578,81.29911041259766,89.64962768554688,0.7000000000000001,417,135,1885,171,0.8826687116564417,0.7554347826086957,0.7091836734693877,0.9331683168316832,0.7315789473684211,0.06683168316831684,triline_transformer_v3_k14,13,2.346629375329047,8611,2608,3391044,14,without_weather,29.013715267181396,triline_transformer_v3
34.17940139770508,25.181499481201172,65.48440551757812,95.23361206054688,23.91781234741211,69.4317855834961,91.38372039794922,74.81936645507812,58.57864761352539,149.9272918701172,178.02178955078125,23.368377685546875,81.79228210449219,91.13702392578125,0.7500000000000001,414,134,1886,174,0.8819018404907976,0.7554744525547445,0.7040816326530612,0.9336633663366337,0.7288732394366197,0.06633663366336634,triline_transformer_v3_alibi_k14,13,2.3255766184052074,8611,2608,3387204,14,without_weather,30.238873720169067,triline_transformer_v3_alibi
31.377477645874023,22.29349136352539,61.553955078125,88.21739196777344,21.802968978881836,66.55770874023438,93.46656036376953,66.21841430664062,49.71406173706055,140.241455078125,172.8482666015625,20.516498565673828,78.15641021728516,94.71417236328125,0.6500000000000001,320,161,1430,113,0.8646245059288538,0.6652806652806653,0.7390300230946882,0.8988057825267127,0.700218818380744,0.10119421747328725,triline_lstm_2l_k30,13,2.3828553418396963,6899,2024,340932,30,without_weather,12.73221230506897,triline_lstm_2l
18.87567138671875,4.330439567565918,57.33447265625,90.458251953125,6.820030689239502,63.1724967956543,90.98171997070312,63.572566986083984,46.48356628417969,137.0436248779297,171.4917755126953,5.729528427124023,75.28315734863281,92.24857330322266,0.5,316,144,1447,117,0.8710474308300395,0.6869565217391305,0.7297921478060047,0.9094908862350722,0.7077267637178052,0.09050911376492772,triline_lstm_4l_k30,13,2.4296276861499893,6899,2024,2233412,30,without_weather,25.767775535583496,triline_lstm_4l
20.66839027404785,7.341695785522461,49.52411651611328,90.32659912109375,8.697457313537598,64.65396118164062,97.13896942138672,63.51715087890625,44.0946044921875,146.9555206298828,186.80850219726562,8.662062644958496,77.76582336425781,98.42921447753906,0.6000000000000001,310,133,1458,123,0.8735177865612648,0.6997742663656885,0.7159353348729792,0.9164047768698932,0.7077625570776256,0.08359522313010685,triline_lstm_6l_k30,15,2.432470101141647,6899,2024,12838212,30,without_weather,39.88405132293701,triline_lstm_6l
27.182214736938477,16.318984985351562,61.03213119506836,89.5806655883789,17.265018463134766,63.62160873413086,89.59603881835938,67.4969253540039,54.55730056762695,137.0460968017578,168.4044647216797,15.722192764282227,75.89376831054688,90.54104614257812,0.6500000000000001,313,135,1456,120,0.8740118577075099,0.6986607142857143,0.7228637413394919,0.9151477058453803,0.7105561861520999,0.08485229415461974,triline_transformer_v2_k30,15,2.4674369054349516,6899,2024,3295300,30,without_weather,25.07338047027588,triline_transformer_v2
28.221731185913086,18.13065528869629,56.05684280395508,92.40147399902344,17.384490966796875,68.04170227050781,98.96207427978516,64.5149154663086,48.05923080444336,148.31515502929688,183.6051788330078,17.12303924560547,79.66761779785156,99.75746154785156,0.55,323,151,1440,110,0.8710474308300395,0.6814345991561181,0.745958429561201,0.9050911376492772,0.7122381477398015,0.09490886235072282,triline_transformer_v3_k30,9,2.4395947069989834,6899,2024,3395140,30,without_weather,21.453688383102417,triline_transformer_v3
