path_id,model,with_mean_rollout_error_km,without_mean_rollout_error_km,with_minus_without_mean_km,without_minus_with_mean_km,with_final_rollout_error_km,without_final_rollout_error_km,with_minus_without_final_km
Europa_DER_A1A26_eobs_4004__2023__southbound_01,lstm,26.60561704950689,44.07012710260491,-17.464510053098017,17.464510053098017,38.98794385903911,78.09228393585552,-39.104340076816406
Frensdorf_3_plus_12173_ABR24__2023__southbound_01,lstm,5.336927512924746,2.7920821101934807,2.5448454027312657,-2.5448454027312657,8.99908085075501,5.842553413269606,3.156527437485405
Loriana_plus_A3M19_e-obs_7990__2021__southbound_01,lstm,42.37261514215266,63.8919146907892,-21.51929954863654,21.51929954863654,85.116461490771,125.14590605871084,-40.029444567939834
Louis_DER_AU050_eobs_3264__2021__southbound_01,lstm,11.606951402324,23.36085783848562,-11.753906436161621,11.753906436161621,22.276116037677973,43.91948027885807,-21.643364241180095
Louis_DER_AU050_eobs_3264__2022__southbound_01,lstm,1.574747862395377,2.4574822299644423,-0.8827343675690653,0.8827343675690653,1.574747862395377,2.4574822299644423,-0.8827343675690653
Moenchsambach_4_12183_ABR27__2023__southbound_01,lstm,128.0458504617923,109.0719910984236,18.973859363368703,-18.973859363368703,216.863887549081,161.24463765613797,55.61924989294303
Rosalie_DER_A2M38_e-obs_6993__2021__southbound_01,lstm,256.38822350741344,242.43027702828007,13.95794647913337,-13.95794647913337,185.02927715633095,284.9380618376664,-99.90878468133545
Rosalie_DER_A2M38_e-obs_6993__2022__southbound_01,lstm,210.3164837496,205.4916143593002,4.824869390299796,-4.824869390299796,320.2962218595582,412.0256947618448,-91.7294729022866
Rosalie_DER_A2M38_e-obs_6993__2023__southbound_01,lstm,139.94144508611308,69.2310050469494,70.71044003916367,-70.71044003916367,151.3044380631734,110.28599997263858,41.018438090534815
Rudolph_plus_A3M22_e-obs_8046__2021__southbound_01,lstm,5.157019311921348,7.465007113775435,-2.307987801854087,2.307987801854087,12.020415010771632,22.80994228684495,-10.789527276073319
Sierit_DER_AN858_eobs2561__2021__southbound_01,lstm,4.117240193881961,8.721061333309374,-4.603821139427413,4.603821139427413,7.348272191414042,16.07233282689629,-8.724060635482248
Steppach_2_12178_AEH96__2023__southbound_01,lstm,24.76406437946381,87.10681222716774,-62.342747847703926,62.342747847703926,3.3925252212581603,129.58333971628437,-126.19081449502622
