baseline_model,best_balanced_score,best_epoch,best_test_loss,distance_weight_bins,distance_weight_config,distance_weight_max_test,distance_weight_max_train,distance_weight_mean_test,distance_weight_mean_train,distance_weight_scope,distance_weighted_training,feature_mode,final_test_loss,final_unweighted_test_loss,fixed_0_5_fly_accuracy,fixed_0_5_fly_f1,fixed_0_5_fly_false_positive_rate,fixed_0_5_fly_fn,fixed_0_5_fly_fp,fixed_0_5_fly_pr_auc,fixed_0_5_fly_precision,fixed_0_5_fly_recall,fixed_0_5_fly_roc_auc,fixed_0_5_fly_specificity,fixed_0_5_fly_threshold,fixed_0_5_fly_tn,fixed_0_5_fly_tp,fly_accuracy,fly_error_mean_km,fly_f1,fly_false_positive_rate,fly_fn,fly_fp,fly_pr_auc,fly_precision,fly_recall,fly_roc_auc,fly_specificity,fly_threshold,fly_tn,fly_tp,gated_fly_error_mean_km,gated_mean_error_km,gated_median_error_km,gated_migration100_error_mean_km,gated_migration50_error_mean_km,gated_p90_error_km,gated_p95_error_km,gated_stationary_error_mean_km,k,kind,mean_error_km,median_error_km,migration100_error_mean_km,migration50_error_mean_km,model,model_family,movement_categories,n_layers,p90_error_km,p95_error_km,params,pos_weight,raw_pos_weight,runtime_seconds,selection_reason,setup,setup_fly_threshold_km,stationary_error_mean_km,test_fly_rate,test_samples,train_fly_rate,train_samples,weather_baseline_mean_error_km,weather_baseline_migration50_error_mean_km
triline_transformer_4l_k7,12.772673943378432,14,2.1752300995058125,"[1.0, 1.5, 2.5, 4.0]",distance_only,4.0,4.0,1.3079514503479004,1.3701988458633423,distance_loss_only,True,full,2.226866723392209,2.076599547805169,0.894878706199461,0.6267942583732057,0.10135135135135136,21,135,0.7070623608494954,0.4924812030075188,0.8618421052631579,0.927898293029872,0.8986486486486487,0.5,1197,131,0.9440700808625337,83.96242640095701,0.7313915857605178,0.03303303303303303,39,44,0.7070623608494954,0.7197452229299363,0.743421052631579,0.927898293029872,0.9669669669669669,0.8929817176680079,1288,113,85.88598398703314,12.772673943378432,0.7947988050069997,121.75103559579846,94.66942460224195,45.14756842669915,79.00400041530214,4.429413337796215,7,triline_transformer,13.952651294558278,2.004033415689891,120.70750459859909,93.015454079498,triline_transformer_4l_k7__distance_only,triline,"['stationary', 'short', 'medium', 'large']",4,43.49669667393717,79.00400041530214,831698,6.485498108448928,6.485498108448928,37.21139168739319,balanced_checkpoint_score,setup_30km,30.0,5.963547828963227,0.10242587327957153,1484,0.1335916370153427,5936,13.455684192575625,112.37065053314667
triline_transformer_4l_k7,,5,2.185074478468162,"[1.0, 2.0, 4.0, 8.0]",current_bins,8.0,8.0,1.6684635877609253,1.8084568977355957,distance_and_direction_losses,True,full,2.185074478468162,2.1433424551210636,0.9164420485175202,0.6702127659574468,0.07357357357357357,26,98,0.7002924161435413,0.5625,0.8289473684210527,0.9346204757388968,0.9264264264264265,0.5,1234,126,0.9467654986522911,80.94727947869013,0.750788643533123,0.03453453453453453,33,46,0.7002924161435413,0.7212121212121212,0.7828947368421053,0.9346204757388968,0.9654654654654654,0.7904135613702237,1286,119,81.89268431473612,13.386204686002234,0.7989740346881319,103.2408974260894,87.03424074463257,48.115648630212384,92.18808409675744,5.5686484520926625,7,triline_transformer,14.997331367790537,2.88590796702401,102.72261836618493,86.27493649690976,triline_transformer_4l_k7__current_bins,triline,"['stationary', 'short', 'medium', 'large']",4,48.392832970181225,92.18808409675744,831698,6.485498108448928,6.485498108448928,26.953505277633667,weighted_validation_loss_fallback,setup_30km,30.0,7.471511463243434,0.10242587327957153,1484,0.1335916370153427,5936,13.455684192575625,112.37065053314667
triline_lstm_2l_k14,13.077544644670134,6,2.109994479085001,"[1.0, 1.25, 1.75, 2.5]",mild_bins,2.5,2.5,1.1630353927612305,1.1770082712173462,distance_and_direction_losses,True,full,2.169334361613061,1.9761049564339033,0.9335302806499262,0.7321428571428571,0.053112033195020746,26,64,0.7509261031178167,0.6577540106951871,0.825503355704698,0.9284636163635858,0.9468879668049792,0.5,1141,123,0.9423929098966026,87.00355228373394,0.7531645569620252,0.03983402489626556,30,48,0.7509261031178167,0.7125748502994012,0.7986577181208053,0.9284636163635858,0.9601659751037345,0.55671297990717,1157,119,87.33087498531197,13.077544644670134,0.789966667334771,119.00409656588423,97.1417743466529,45.98216131941822,78.70647782299248,3.8960125112629695,14,triline_lstm,13.763736758402521,1.9535393119955065,118.86674346426229,96.85114457236901,triline_lstm_2l_k14__mild_bins,triline,"['stationary', 'short', 'medium', 'large']",2,45.95043484143726,78.70647782299248,301906,6.836468885672938,6.836468885672938,19.964433431625366,balanced_checkpoint_score,setup_30km,30.0,4.707527203817972,0.11004431545734406,1354,0.1276084929704666,5415,13.848098031743804,101.7270624749667
triline_lstm_2l_k14,13.00476282425753,11,2.187150221279488,"[1.0, 1.5, 2.5, 4.0]",medium_bins,4.0,4.0,1.3260709047317505,1.354016661643982,distance_and_direction_losses,True,full,2.2338489331029896,2.0472697880630832,0.8995568685376661,0.6548223350253808,0.09626556016597511,20,116,0.7364533053755912,0.5265306122448979,0.8657718120805369,0.9369127516778524,0.9037344398340249,0.5,1089,129,0.9357459379615952,84.33295711910027,0.7255520504731862,0.04398340248962656,34,53,0.7364533053755912,0.6845238095238095,0.7718120805369127,0.9369127516778524,0.9560165975103735,0.7960190707445145,1152,115,85.50273493518004,13.00476282425753,0.7943819467291567,118.40678919689219,95.35068589146263,43.19423068739093,78.5528340913892,4.040283285230592,14,triline_lstm,13.930265028727463,2.0419887951926254,117.64354380770692,94.15169996697352,triline_lstm_2l_k14__medium_bins,triline,"['stationary', 'short', 'medium', 'large']",2,42.32189695253418,77.80116577770579,301906,6.836468885672938,6.836468885672938,27.03684949874878,balanced_checkpoint_score,setup_30km,30.0,5.22486990717929,0.11004431545734406,1354,0.1276084929704666,5415,13.848098031743804,101.7270624749667
triline_lstm_2l_k14,13.06036568934807,11,2.1785770578961956,"[1.0, 1.5, 2.5, 4.0]",distance_only,4.0,4.0,1.3260709047317505,1.354016661643982,distance_loss_only,True,full,2.1870390558876704,2.018185769437511,0.8973412112259971,0.649874055415617,0.0987551867219917,20,119,0.7490169522901905,0.5201612903225806,0.8657718120805369,0.9416747890500989,0.9012448132780083,0.5,1086,129,0.9357459379615952,83.6300535335516,0.7323076923076922,0.04730290456431535,30,57,0.7490169522901905,0.6761363636363636,0.7986577181208053,0.9416747890500989,0.9526970954356846,0.7803093337704194,1148,119,84.51319322088634,13.06036568934807,0.7943819467291567,116.53129034377817,94.00757301509422,44.9547928643214,79.5251360028062,4.225119795406821,14,triline_lstm,13.986262362279396,2.076527042880711,116.26415319715596,93.17984560526126,triline_lstm_2l_k14__distance_only,triline,"['stationary', 'short', 'medium', 'large']",2,45.06273857350246,78.0840354564705,301906,6.836468885672938,6.836468885672938,25.50005292892456,balanced_checkpoint_score,setup_30km,30.0,5.374706441516277,0.11004431545734406,1354,0.1276084929704666,5415,13.848098031743804,101.7270624749667
triline_lstm_2l_k14,,11,2.2469415340677146,"[1.0, 2.0, 4.0, 8.0]",current_bins,8.0,8.0,1.7082717418670654,1.7702677249908447,distance_and_direction_losses,True,full,2.2469415340677146,2.1848495045299896,0.895864106351551,0.6466165413533834,0.1004149377593361,20,121,0.7500436276478198,0.516,0.8657718120805369,0.9347350246456321,0.8995850622406639,0.5,1084,129,0.9438700147710487,79.76730476480351,0.75,0.03402489626556016,35,41,0.7500436276478198,0.7354838709677419,0.7651006711409396,0.9347350246456321,0.9659751037344398,0.848630858536344,1164,114,81.67051998782179,12.972548875918,0.7794584349776466,107.17153141890165,89.12975852959651,48.38738560743383,82.36668017583496,4.477944979093381,14,triline_lstm,14.598257183600147,2.6849519925021426,105.795878758189,87.2605446523329,triline_lstm_2l_k14__current_bins,triline,"['stationary', 'short', 'medium', 'large']",2,47.825925496835175,80.95955457263528,301906,6.836468885672938,6.836468885672938,28.98746085166931,weighted_validation_loss_fallback,setup_30km,30.0,6.540009806339313,0.11004431545734406,1354,0.1276084929704666,5415,13.848098031743804,101.7270624749667
triline_lstm_2l_k7,12.561723705252135,14,2.1582636254817005,"[1.0, 1.25, 1.75, 2.5]",mild_bins,2.5,2.5,1.1539757251739502,1.1850993633270264,distance_and_direction_losses,True,full,2.3906311590395206,2.2227459969224954,0.8935309973045822,0.6609442060085837,0.0764381402679275,61,97,0.7215294578130098,0.6135458167330677,0.7162790697674418,0.8957831656495685,0.9235618597320725,0.5,1172,154,0.9184636118598383,69.20523514965932,0.6873385012919897,0.030732860520094562,82,39,0.7215294578130098,0.7732558139534884,0.6186046511627907,0.8957831656495685,0.9692671394799054,0.7723922243734705,1230,133,69.6420852734934,12.561723705252135,0.7947988050069997,120.48981411684323,96.92937739473464,38.91701511032874,79.2007389590374,2.890898065242779,7,triline_lstm,13.242616362739733,1.835124536450241,120.16736905293851,96.39650943350088,triline_lstm_2l_k7__mild_bins,triline,"['stationary', 'short', 'medium', 'large']",2,38.91701511032874,78.58791213645792,301906,4.207017543859649,4.207017543859649,46.859851360321045,balanced_checkpoint_score,setup_10km,10.0,3.7611640071938597,0.14487870037555695,1484,0.19204851984977722,5936,13.313058234836303,106.35808208430012
triline_lstm_2l_k7,12.628838153882427,14,2.2324990056595713,"[1.0, 1.5, 2.5, 4.0]",medium_bins,4.0,4.0,1.3079514503479004,1.3701988458633423,distance_and_direction_losses,True,full,2.452502435108401,2.2061988703324147,0.8995956873315364,0.6710816777041941,0.0677698975571316,63,86,0.7266710488858025,0.6386554621848739,0.7069767441860465,0.899364084519948,0.9322301024428684,0.5,1183,152,0.9137466307277629,67.89702011044864,0.6908212560386473,0.04412923561859732,72,56,0.7266710488858025,0.7185929648241206,0.6651162790697674,0.899364084519948,0.9558707643814027,0.642011376903829,1213,143,68.1546759258166,12.628838153882427,0.8227873937186033,113.2794868442525,92.81951207313307,43.13158059151672,77.14890016142522,3.2213873099377097,7,triline_lstm,13.2891189216311,1.869162878813659,113.18201326396517,92.52670921935707,triline_lstm_2l_k7__medium_bins,triline,"['stationary', 'short', 'medium', 'large']",2,41.81849403899467,77.39289867596682,301906,4.207017543859649,4.207017543859649,37.5921528339386,balanced_checkpoint_score,setup_10km,10.0,4.037189248190778,0.14487870037555695,1484,0.19204851984977722,5936,13.313058234836303,106.35808208430012
triline_lstm_2l_k7,12.541106542688976,19,2.2590992598520776,"[1.0, 1.5, 2.5, 4.0]",distance_only,4.0,4.0,1.3079514503479004,1.3701988458633423,distance_loss_only,True,full,2.8561942211058584,2.517259632480755,0.8888140161725068,0.6373626373626373,0.07486209613869188,70,95,0.6987071594687003,0.6041666666666666,0.6744186046511628,0.8793519892975608,0.9251379038613081,0.5,1174,145,0.9150943396226415,68.47951420647846,0.663101604278075,0.027580772261623327,91,35,0.6987071594687003,0.779874213836478,0.5767441860465117,0.8793519892975608,0.9724192277383766,0.8280894752421045,1234,124,69.08293581516934,12.541106542688976,0.7822581243602424,111.12275347376985,93.4925355709813,43.59822643415293,79.51429917173655,2.961521598966928,7,triline_lstm,13.33327476300284,1.8798886660728336,110.8109613612311,92.61916673101517,triline_lstm_2l_k7__distance_only,triline,"['stationary', 'short', 'medium', 'large']",2,42.712463655821026,78.05963908491138,301906,4.207017543859649,4.207017543859649,41.09428095817566,balanced_checkpoint_score,setup_10km,10.0,3.990137268639357,0.14487870037555695,1484,0.19204851984977722,5936,13.313058234836303,106.35808208430012
triline_lstm_2l_k7,,7,2.276830850585773,"[1.0, 2.0, 4.0, 8.0]",current_bins,8.0,8.0,1.6684635877609253,1.8084568977355957,distance_and_direction_losses,True,full,2.276830850585773,2.133306796981318,0.8827493261455526,0.6533864541832669,0.09692671394799054,51,123,0.7406149260780446,0.5714285714285714,0.7627906976744186,0.900196089211428,0.9030732860520094,0.5,1146,164,0.921832884097035,68.00782776926779,0.6947368421052632,0.026004728132387706,83,33,0.7406149260780446,0.8,0.6139534883720931,0.900196089211428,0.9739952718676123,0.8268213248299435,1236,132,69.1835041919703,12.980429028073754,0.789966667334771,110.06667332548419,89.89446445393469,44.83580276167811,87.58926361957884,3.4582374124411612,7,triline_lstm,14.065053313337435,2.119101878152024,109.1897572235547,88.44972056556016,triline_lstm_2l_k7__current_bins,triline,"['stationary', 'short', 'medium', 'large']",2,44.033336041012916,86.65073464339274,301906,4.207017543859649,4.207017543859649,29.773895025253296,weighted_validation_loss_fallback,setup_10km,10.0,4.925812566272795,0.14487870037555695,1484,0.19204851984977722,5936,13.313058234836303,106.35808208430012
triline_transformer_2l_k7,12.79888122463402,11,2.1792633674858073,"[1.0, 1.25, 1.75, 2.5]",mild_bins,2.5,2.5,1.1539757251739502,1.1850993633270264,distance_and_direction_losses,True,full,2.2453759648407887,2.0775333575482637,0.9076819407008087,0.6821345707656613,0.054373522458628844,68,69,0.7118091995202571,0.6805555555555556,0.6837209302325581,0.8977843751718071,0.9456264775413712,0.5,1200,147,0.9204851752021563,70.58673929215828,0.7064676616915423,0.03546099290780142,73,45,0.7118091995202571,0.7593582887700535,0.6604651162790698,0.8977843751718071,0.9645390070921985,0.6985750715062022,1224,142,70.82853743859758,12.79888122463402,0.8236148212300373,128.55659309677617,99.21428994840294,42.80833745138998,72.61358174868344,2.967221582394331,7,triline_transformer,13.22951308476002,1.4480322410287294,128.50479816137587,99.01846688773392,triline_transformer_2l_k7__mild_bins,triline,"['stationary', 'short', 'medium', 'large']",2,42.266374344537525,72.54116970517288,435154,4.207017543859649,4.207017543859649,36.319658279418945,balanced_checkpoint_score,setup_10km,10.0,3.5117797241685067,0.14487870037555695,1484,0.19204851984977722,5936,13.252596414900404,104.09316398584257
triline_transformer_2l_k7,13.094673819165969,7,2.2697654991458367,"[1.0, 1.5, 2.5, 4.0]",medium_bins,4.0,4.0,1.3079514503479004,1.3701988458633423,distance_and_direction_losses,True,full,2.303449288854059,2.1113319621895843,0.9056603773584906,0.6916299559471365,0.06461780929866036,58,82,0.7001419560870412,0.6569037656903766,0.7302325581395349,0.8871332490332986,0.9353821907013397,0.5,1187,157,0.9144204851752021,69.82972975841048,0.7025761124121779,0.04885736800630418,65,62,0.7001419560870412,0.7075471698113207,0.6976744186046512,0.8871332490332986,0.9511426319936959,0.5645731081068516,1207,150,70.0237160890689,13.094673819165969,0.8446060148473411,126.09294249548228,97.03156237515601,42.62493342664379,80.82169143420894,3.4494854125236283,7,triline_transformer,13.74454252587208,1.8536428510170775,125.98979206686818,96.77547961673207,triline_transformer_2l_k7__medium_bins,triline,"['stationary', 'short', 'medium', 'large']",2,42.62493342664379,80.82169143420894,435154,4.207017543859649,4.207017543859649,33.0565083026886,balanced_checkpoint_score,setup_10km,10.0,4.242324042817899,0.14487870037555695,1484,0.19204851984977722,5936,13.252596414900404,104.09316398584257
