path_id,source_individual_local_identifier,path_year,path_copy_index,corridor_rows,path_rows,lat_drop_deg,individual_local_identifier,date,lat_median,lon_median,n_points,timestamp_min_utc,step_length_km,heading_deg,speed_km_per_day,turning_angle_deg,stopover_duration_days,year,weather_bird,weather_date,weather_file,temp_2m_celsius,wind_speed_10m,wind_direction_10m,surface_pressure_hpa,precipitation_mm,cloud_cover,boundary_layer_height,weather_match_type,weather_match_days,wind_dir_sin,wind_dir_cos,precipitation_log1p_mm
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-15 00:00:00+00:00,42.0978593,2.8154153,212,2016-08-15T02:00:23+00:00,22.542518931165272,229.25587834002457,22.542518931165272,49.78149409756568,0,2016,Angela / DER AY470 (eobs 4001),2016-08-15,data\weather\weather_2016\dataset2_daily_weather_2016.csv,25.85292189,3.114419135,171.2574668,987.3799769,0.049591065,0.168087366,738.6095979,exact,0.0,0.15199458138471242,-0.9883813268317477,0.04840062640468544
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-16 00:00:00+00:00,41.73489655,0.8023523,218,2016-08-16T02:00:23+00:00,171.38125439871993,257.0533102753648,171.38125439871993,27.797431935340256,0,2016,Angela / DER AY470 (eobs 4001),2016-08-16,data\weather\weather_2016\dataset2_daily_weather_2016.csv,26.87294191,2.243163214,124.1185899,977.4937554,13.97895812,0.67831619,682.3832572,exact,0.0,0.8278783889362846,-0.5609076333339222,2.7066464242683934
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-17 00:00:00+00:00,41.7573736,0.8114469,217,2016-08-17T02:00:23+00:00,2.6107430601318065,16.795291304699276,2.6107430601318065,119.74198102933444,1,2016,Angela / DER AY470 (eobs 4001),2016-08-17,data\weather\weather_2016\dataset2_daily_weather_2016.csv,27.38461975,2.244260975,149.4597285,974.2548178,2.841472619,0.828540095,1155.78028,exact,0.0,0.5081438510625097,-0.8612722140109722,1.3458557876156523
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-18 00:00:00+00:00,41.7699487,0.7823308,219,2016-08-18T02:00:23+00:00,2.7905086984591474,300.08167555804505,2.7905086984591474,76.71361574665423,2,2016,Angela / DER AY470 (eobs 4001),2016-08-18,data\weather\weather_2016\dataset2_daily_weather_2016.csv,27.68023025,2.089258181,167.1494248,973.721459,5.498886097,0.417580524,894.1799509,exact,0.0,0.22240917919763775,-0.9749534127375693,1.8716307925238203
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-19 00:00:00+00:00,41.789686,0.7693488,217,2016-08-19T02:00:23+00:00,2.4444695667320127,333.87714320577936,2.4444695667320127,33.79546764773431,3,2016,Angela / DER AY470 (eobs 4001),2016-08-19,data\weather\weather_2016\dataset2_daily_weather_2016.csv,29.18685024,1.978863572,165.0683014,972.8136723,0.494480133,0.350842034,1056.553831,exact,0.0,0.25766739645017794,-0.9662336740181366,0.4017784092443304
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-20 00:00:00+00:00,41.79238115,0.77651335,216,2016-08-20T02:00:23+00:00,0.6652969752175723,63.22462937617149,0.6652969752175723,89.34748617039213,4,2016,Angela / DER AY470 (eobs 4001),2016-08-20,data\weather\weather_2016\dataset2_daily_weather_2016.csv,27.22369494,1.789731842,199.9564654,976.5018642,13.47255713,0.586689704,836.9339283,exact,0.0,-0.34130604543668935,-0.9399522239711806,2.672254244449844
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-21 00:00:00+00:00,41.64947985,0.7124938000000001,218,2016-08-21T02:00:23+00:00,16.75473233301582,198.5104091863961,16.75473233301582,135.2857798102246,0,2016,Angela / DER AY470 (eobs 4001),2016-08-21,data\weather\weather_2016\dataset2_daily_weather_2016.csv,26.2748581,2.876215285,240.5321954,983.0410507,0.0,0.062793644,917.510629,exact,0.0,-0.8706322590644572,-0.491934415828289,0.0
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-22 00:00:00+00:00,41.538763,0.6152514,216,2016-08-22T02:00:23+00:00,14.729482766520052,213.3311769397017,14.729482766520052,14.820767753305631,0,2016,Angela / DER AY470 (eobs 4001),2016-08-22,data\weather\weather_2016\dataset2_daily_weather_2016.csv,26.89088446,1.623413387,194.3742666,989.3016375,0.042915344,0.024121378,781.7629966,exact,0.0,-0.24825483986407734,-0.9686947581586582,0.04202000685681875
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-23 00:00:00+00:00,41.5383309,0.61519395,220,2016-08-23T02:00:23+00:00,0.0482847363785514,185.6832884793264,0.0482847363785514,27.647888460375384,1,2016,Angela / DER AY470 (eobs 4001),2016-08-23,data\weather\weather_2016\dataset2_daily_weather_2016.csv,27.83411121,3.028548098,123.3484874,989.5358039,0.005722046,0.024306763,827.5173841,exact,0.0,0.8353424434641996,-0.5497299356477329,0.00570573727804988
Angela_DER_AY470_eobs_4001__2016__southbound_01,Angela / DER AY470 (eobs 4001),2016,1,198,87,12.185438499999997,Angela / DER AY470 (eobs 4001),2016-08-24 00:00:00+00:00,41.5745956,0.615261,217,2016-08-24T02:00:23+00:00,4.032460085574209,0.079248731135749,4.032460085574209,174.3959602518094,2,2016,Angela / DER AY470 (eobs 4001),2016-08-24,data\weather\weather_2016\dataset2_daily_weather_2016.csv,27.62474328,3.066141225,131.5342659,987.1246339,0.0,0.001181326,791.9552711,exact,0.0,0.7485593051148358,-0.6630678447383753,0.0
