const_velocity_final_rollout_error_km,const_velocity_mean_rollout_error_km,direct_final_rollout_error_km,direct_mean_rollout_error_km,direct_model,lat_max,lat_min,lon_max,lon_min,lstm_final_rollout_error_km,lstm_mean_rollout_error_km,lstm_model,observed_days,observed_displacement_km,path_copy_index,path_id,path_year,persistence_final_rollout_error_km,persistence_mean_rollout_error_km,records,rollout_steps,setup,source_bird_id,transformer_final_rollout_error_km,transformer_mean_rollout_error_km,transformer_model
4158.38577213014,2028.7606914337473,645.0297000444955,347.47943999184173,direct_mlp_last_day_k1,47.92222675,41.64705355,8.6020267,0.9430285,470.6441800581362,346.4489416559705,triline_lstm_2l_k7 (distance weighted),30,739.2551885667646,1,Louis_DER_AU050_eobs_3264__2021__southbound_01,2021,190.8107325405351,190.42559032833765,78,48,setup_30km,Louis / DER AU050 (eobs 3264),710.5389735135869,552.0654073205903,triline_transformer_2l_k7 (distance weighted)
34.93579984515639,14.901009908074183,258.0424757453666,146.1704857997225,direct_mlp_last_day_k1,47.9113033,41.53766505,8.5728078,0.6143338,500.51503493589064,325.3714189741966,triline_lstm_2l_k7 (distance weighted),30,918.0872223253929,1,Louis_DER_AU050_eobs_3264__2022__southbound_01,2022,29.46117966866473,12.527351722307857,61,31,setup_30km,Louis / DER AU050 (eobs 3264),310.00016238131485,177.70361156157685,triline_transformer_2l_k7 (distance weighted)
270.31335295527924,279.05292446837984,520.3423929971137,405.59073882226215,direct_mlp_last_day_k1,47.93253095,41.585689900000006,8.5819782,0.6089633,331.38948187690835,213.12756478273155,triline_lstm_2l_k7 (distance weighted),46,51.55545235761921,1,Louis_DER_AU050_eobs_3264__2023__southbound_01,2023,891.2436996715168,617.0258474194706,59,13,setup_30km,Louis / DER AU050 (eobs 3264),104.20955124459367,112.06402724445387,triline_transformer_2l_k7 (distance weighted)
1422.6460928288786,523.6755437586186,50.51840131490524,209.31190194236007,direct_mlp_last_day_k1,47.8112431,34.2576062,8.89145865,-6.580606,377.0121677023049,394.0033355863326,triline_lstm_2l_k7 (distance weighted),83,55.614786674948434,1,Mirabell_plus_DER_AN910_eobs_3907__2019__southbound_01,2019,1925.77232282804,1496.1088755700018,139,56,setup_30km,Mirabell + / DER AN910 (eobs 3907),616.2648762296888,538.7799047662644,triline_transformer_2l_k7 (distance weighted)
2258.3434942690683,910.0666937573632,202.37606025233097,294.3226485059057,direct_mlp_last_day_k1,47.8120999,38.5332653,8.8864307,-4.36811535,390.9179273703088,233.62586465902683,triline_lstm_2l_k7 (distance weighted),76,213.05029991147262,1,Mirabell_plus_DER_AN910_eobs_3907__2020__southbound_01,2020,1273.057687668923,1051.8196461660764,92,16,setup_30km,Mirabell + / DER AN910 (eobs 3907),390.1867809774832,317.2897755212444,triline_transformer_2l_k7 (distance weighted)
2170.410561035294,894.7647935277904,845.3892733901166,557.0309796421743,direct_mlp_last_day_k1,49.89955475,41.5241537,8.538199500000001,0.43048175,977.3849515723584,607.8248941617719,triline_lstm_2l_k7 (distance weighted),38,121.1423927728407,1,Sara_plus_DER_AU017_eobs_3941__2019__southbound_01,2019,1009.5723332824965,926.1513503537541,80,42,setup_30km,Sara + / DER AU017 (eobs 3941),1296.7456662535094,722.7902296112234,triline_transformer_2l_k7 (distance weighted)
4150.553387658273,1744.169288406533,549.7437646366322,488.0704307840843,direct_mlp_last_day_k1,47.8074046,41.53495435000001,8.88580825,0.4972057,1073.7911227623063,815.765110233137,triline_lstm_2l_k7 (distance weighted),65,63.08789080416817,1,Sierit_DER_AN858_eobs2561__2020__southbound_01,2020,897.6793414475592,877.8363891002459,139,74,setup_30km,Sierit  / DER AN858 (eobs2561),1198.1976592719104,871.3176880804771,triline_transformer_2l_k7 (distance weighted)
1886.0217865002203,779.0468764283528,718.2880317980752,383.777943019702,direct_mlp_last_day_k1,47.8109808,41.53828245,8.8902253,0.5537554,879.8311802168464,602.3839564151208,triline_lstm_2l_k7 (distance weighted),31,112.41877922382425,1,Sierit_DER_AN858_eobs2561__2021__southbound_01,2021,844.0610264501253,752.8186210474078,66,35,setup_30km,Sierit  / DER AN858 (eobs2561),1058.2528086927648,603.9970589383373,triline_transformer_2l_k7 (distance weighted)
715.1709469005762,357.96270973097455,537.7277632886406,591.0718649807268,direct_mlp_last_day_k1,47.7542203,41.5365587,9.06452145,0.0522777,1374.9483431380959,1159.9899319252822,triline_lstm_2l_k7 (distance weighted),30,955.5466267824416,1,Zozu_plus_DER_AL581_eobs2541__2019__southbound_01,2019,6.6040034150822695,5.505491079667578,145,115,setup_30km,Zozu + / DER AL581 (eobs2541),1356.4162265605196,1136.1029328222194,triline_transformer_2l_k7 (distance weighted)
3058.6654226807264,1221.3313547327823,664.1068221116745,611.2078005077175,direct_mlp_last_day_k1,47.8050238,41.5266963,9.0594015,0.4314196,1260.1380673694705,935.4714429388952,triline_lstm_2l_k7 (distance weighted),83,70.1236088413661,1,Zozu_plus_DER_AL581_eobs2541__2020__southbound_01,2020,901.4103861683019,774.5059033413545,136,53,setup_30km,Zozu + / DER AL581 (eobs2541),1381.3711715325787,981.5084158311757,triline_transformer_2l_k7 (distance weighted)
14424.17723858551,6549.373788543222,1587.6065996210275,1456.386520800592,direct_mlp_last_day_k1,48.2204565,38.9345508,7.8322641,-5.755673,726.414674789033,547.8907164196404,triline_lstm_2l_k7 (distance weighted),65,139.79296078423565,1,Angela_DER_AY470_eobs_4001__2019__southbound_01,2019,1353.981894397694,1213.4503903849188,185,120,setup_10km,Angela / DER AY470 (eobs 4001),873.0259474859242,627.5702070876158,triline_transformer_2l_k7 (distance weighted)
3163.500578504747,1315.6575135464705,468.0839338398126,250.99368479440284,direct_mlp_last_day_k1,48.1524172,36.284087,7.795102,-6.0298849,262.26497859991434,298.5014915515462,triline_lstm_2l_k7 (distance weighted),62,160.1834623140796,1,Angela_DER_AY470_eobs_4001__2020__southbound_01,2020,1570.58449784494,1305.780991274527,93,31,setup_10km,Angela / DER AY470 (eobs 4001),182.10831239570808,351.3760212769259,triline_transformer_2l_k7 (distance weighted)
545.7114109333396,358.09940180587813,528.6713732169455,350.32077852868207,direct_mlp_last_day_k1,48.1519085,36.5685474,7.833475,-6.1475794,573.2843088754103,275.47105545319897,triline_lstm_2l_k7 (distance weighted),61,93.2700142791398,1,Angela_DER_AY470_eobs_4001__2022__southbound_01,2022,1623.3214561824398,929.6814389081828,73,12,setup_10km,Angela / DER AY470 (eobs 4001),872.2439117451293,553.2169876619724,triline_transformer_2l_k7 (distance weighted)
1002.3008659702691,560.6692514022064,982.1464427391487,662.8239693811339,direct_mlp_last_day_k1,48.186889,36.573646,7.7548651,-6.1272018,184.959009412786,214.48939210875957,triline_lstm_2l_k7 (distance weighted),30,751.7825525926037,1,Angela_DER_AY470_eobs_4001__2023__southbound_01,2023,1010.4482979451984,564.0995347913879,66,36,setup_10km,Angela / DER AY470 (eobs 4001),218.63456204786488,254.9694445331522,triline_transformer_2l_k7 (distance weighted)
6929.809173723523,3109.9018102269038,1208.5563220131587,684.0061978302581,direct_mlp_last_day_k1,47.6932465,37.153416,7.6448794,-6.3756002,265.671767229822,300.03606145022223,triline_lstm_2l_k7 (distance weighted),52,117.55992244280759,1,Ed_plus_AAL16_e-obs_7210__2021__southbound_01,2021,1502.204974242499,1250.3476848495588,117,65,setup_10km,"Ed + (AAL16, e-obs 7210)",223.50043468399173,212.38080723154346,triline_transformer_2l_k7 (distance weighted)
15016.928936502958,7276.836339085537,2526.5864236311445,1584.2434782871057,direct_mlp_last_day_k1,47.1668648,40.16209895,7.5708743,-3.65722925,931.4933674560519,703.6906371366499,triline_lstm_2l_k7 (distance weighted),33,177.8492557794077,1,Europa_DER_A1A26_eobs_4004__2019__southbound_01,2019,999.78754145019,944.2382082791298,114,81,setup_10km,Europa / DER A1A26 (eobs 4004),878.4674637577641,639.9949549890669,triline_transformer_2l_k7 (distance weighted)
3136.535116159868,1537.6318009538923,1640.3704239154526,1012.797977362609,direct_mlp_last_day_k1,47.1841832,37.7933722,7.5979627,-4.7490658,663.2979879790641,505.7679924073471,triline_lstm_2l_k7 (distance weighted),30,897.068556959368,1,Europa_DER_A1A26_eobs_4004__2020__southbound_01,2020,546.408675490748,431.71682388896477,70,40,setup_10km,Europa / DER A1A26 (eobs 4004),508.51441071291947,354.31265944378436,triline_transformer_2l_k7 (distance weighted)
13208.473771464045,6572.798251501954,2303.9887462384886,1622.4486275722359,direct_mlp_last_day_k1,47.17941505,40.13243435,7.4065439,-3.6785956,839.4098665877308,761.1547382476529,triline_lstm_2l_k7 (distance weighted),30,812.7816001605594,1,Europa_DER_A1A26_eobs_4004__2021__southbound_01,2021,402.54623806254637,331.05032532228853,107,77,setup_10km,Europa / DER A1A26 (eobs 4004),588.2796310944665,501.27954823253964,triline_transformer_2l_k7 (distance weighted)
15976.214123682856,9200.861916547636,2323.1400334742048,1386.513247580559,direct_mlp_last_day_k1,47.1788117,39.8411549,7.4200194,-4.2708803,810.384252039553,658.3219964493929,triline_lstm_2l_k7 (distance weighted),48,281.72400597948484,1,Europa_DER_A1A26_eobs_4004__2022__southbound_01,2022,965.8790418742487,881.2399453297867,119,71,setup_10km,Europa / DER A1A26 (eobs 4004),667.7002214004424,497.41400221113645,triline_transformer_2l_k7 (distance weighted)
