const_velocity_final_rollout_error_km,const_velocity_mean_rollout_error_km,direct_final_rollout_error_km,direct_mean_rollout_error_km,direct_model,lat_max,lat_min,lon_max,lon_min,lstm_final_rollout_error_km,lstm_fly_threshold,lstm_mean_rollout_error_km,lstm_model,observed_days,observed_displacement_km,path_copy_index,path_id,path_year,persistence_final_rollout_error_km,persistence_mean_rollout_error_km,records,rollout_steps,setup,source_bird_id,transformer_final_rollout_error_km,transformer_fly_threshold,transformer_mean_rollout_error_km,transformer_model
14424.17723858551,6549.373788543222,2906.400788664744,1713.6626367877486,direct_transformer_2l_k7,48.2204565,38.9345508,7.8322641,-5.755673,1068.0986911459127,0.7987027972936629,936.548376080941,"triline_lstm_2l_k14 (distance weighted, fly-gated)",65,139.79296078423565,1,Angela_DER_AY470_eobs_4001__2019__southbound_01,2019,1353.981894397694,1213.4503903849188,185,120,setup_10km,Angela / DER AY470 (eobs 4001),1587.0474198302068,0.8122731876373291,1298.226610792616,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
3163.500578504747,1315.6575135464705,237.46367228964118,197.66936312805774,direct_transformer_2l_k7,48.1524172,36.284087,7.795102,-6.0298849,178.83450344380276,0.7987027972936629,209.7839204644321,"triline_lstm_2l_k14 (distance weighted, fly-gated)",62,160.1834623140796,1,Angela_DER_AY470_eobs_4001__2020__southbound_01,2020,1570.58449784494,1305.780991274527,93,31,setup_10km,Angela / DER AY470 (eobs 4001),402.7068719608507,0.8122731876373291,295.2666447835878,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
545.7114109333396,358.09940180587813,48.08164462350689,118.56248731979257,direct_transformer_2l_k7,48.1519085,36.5685474,7.833475,-6.1475794,726.0263814567992,0.7987027972936629,491.812183780745,"triline_lstm_2l_k14 (distance weighted, fly-gated)",61,93.2700142791398,1,Angela_DER_AY470_eobs_4001__2022__southbound_01,2022,1623.3214561824398,929.6814389081828,73,12,setup_10km,Angela / DER AY470 (eobs 4001),743.1290746504163,0.8122731876373291,457.0122166913637,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
1002.3008659702691,560.6692514022064,433.8160380315993,373.25427913055063,direct_transformer_2l_k7,48.186889,36.573646,7.7548651,-6.1272018,1010.4482979451984,0.7987027972936629,564.0995347913879,"triline_lstm_2l_k14 (distance weighted, fly-gated)",30,751.7825525926037,1,Angela_DER_AY470_eobs_4001__2023__southbound_01,2023,1010.4482979451984,564.0995347913879,66,36,setup_10km,Angela / DER AY470 (eobs 4001),1010.4482979451984,0.8122731876373291,564.0995347913879,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
6929.809173723523,3109.9018102269038,1054.7932188427603,730.6942666037996,direct_transformer_2l_k7,47.6932465,37.153416,7.6448794,-6.3756002,244.6749385712051,0.7987027972936629,254.11969008127718,"triline_lstm_2l_k14 (distance weighted, fly-gated)",52,117.55992244280759,1,Ed_plus_AAL16_e-obs_7210__2021__southbound_01,2021,1502.204974242499,1250.3476848495588,117,65,setup_10km,"Ed + (AAL16, e-obs 7210)",1539.9454586803727,0.8122731876373291,1063.1086127401934,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
15016.928936502958,7276.836339085537,2906.251889208185,1553.5624926222513,direct_transformer_2l_k7,47.1668648,40.16209895,7.5708743,-3.65722925,1251.703633311288,0.7987027972936629,928.9691630234097,"triline_lstm_2l_k14 (distance weighted, fly-gated)",33,177.8492557794077,1,Europa_DER_A1A26_eobs_4004__2019__southbound_01,2019,999.78754145019,944.2382082791298,114,81,setup_10km,Europa / DER A1A26 (eobs 4004),2646.296371262743,0.8122731876373291,1810.6294972964902,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
3136.535116159868,1537.6318009538923,1385.204075159017,741.3803023037353,direct_transformer_2l_k7,47.1841832,37.7933722,7.5979627,-4.7490658,1025.1567885857069,0.7987027972936629,718.9366093599285,"triline_lstm_2l_k14 (distance weighted, fly-gated)",30,897.068556959368,1,Europa_DER_A1A26_eobs_4004__2020__southbound_01,2020,546.408675490748,431.71682388896477,70,40,setup_10km,Europa / DER A1A26 (eobs 4004),2103.5684292705237,0.8122731876373291,1203.224831169099,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
13208.473771464045,6572.798251501954,2165.975940475831,1108.478167636948,direct_transformer_2l_k7,47.17941505,40.13243435,7.4065439,-3.6785956,238.54757867791568,0.7987027972936629,264.8584505422904,"triline_lstm_2l_k14 (distance weighted, fly-gated)",30,812.7816001605594,1,Europa_DER_A1A26_eobs_4004__2021__southbound_01,2021,402.54623806254637,331.05032532228853,107,77,setup_10km,Europa / DER A1A26 (eobs 4004),2303.3519063959498,0.8122731876373291,1829.3425878090666,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
15976.214123682856,9200.861916547636,2477.0310219953117,1400.5223779327637,direct_transformer_2l_k7,47.1788117,39.8411549,7.4200194,-4.2708803,636.7681646105068,0.7987027972936629,523.8228554321857,"triline_lstm_2l_k14 (distance weighted, fly-gated)",48,281.72400597948484,1,Europa_DER_A1A26_eobs_4004__2022__southbound_01,2022,965.8790418742487,881.2399453297867,119,71,setup_10km,Europa / DER A1A26 (eobs 4004),2417.275345934189,0.8122731876373291,1614.113347782836,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
23.652237610373362,18.634462866984677,1340.5092799869046,639.3663398308784,direct_transformer_2l_k7,47.1771678,40.1542867,7.4021174,-3.6455912,10.285667770674586,0.7987027972936629,4.574958756072823,"triline_lstm_2l_k14 (distance weighted, fly-gated)",30,1174.3215620171952,1,Europa_DER_A1A26_eobs_4004__2023__southbound_01,2023,10.285667770674586,4.574958756072823,98,68,setup_10km,Europa / DER A1A26 (eobs 4004),10.285667770674586,0.8122731876373291,4.574958756072823,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
4158.38577213014,2028.7606914337473,1617.8733919302579,863.8949731892053,direct_transformer_2l_k7,47.92222675,41.64705355,8.6020267,0.9430285,591.2116630162654,0.7987027972936629,486.2338726207475,"triline_lstm_2l_k14 (distance weighted, fly-gated)",30,739.2551885667646,1,Louis_DER_AU050_eobs_3264__2021__southbound_01,2021,190.8107325405351,190.42559032833765,78,48,setup_10km,Louis / DER AU050 (eobs 3264),1885.5312249654612,0.8122731876373291,1374.9505351801342,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
34.93579984515639,14.901009908074183,1025.381066228157,621.3239405570038,direct_transformer_2l_k7,47.9113033,41.53766505,8.5728078,0.6143338,29.46117966866473,0.7987027972936629,12.527351722307857,"triline_lstm_2l_k14 (distance weighted, fly-gated)",30,918.0872223253929,1,Louis_DER_AU050_eobs_3264__2022__southbound_01,2022,29.46117966866473,12.527351722307857,61,31,setup_10km,Louis / DER AU050 (eobs 3264),29.46117966866473,0.8122731876373291,12.527351722307857,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
270.31335295527924,279.05292446837984,423.8980345096426,217.8396946110934,direct_transformer_2l_k7,47.93253095,41.585689900000006,8.5819782,0.6089633,302.1619953486888,0.7987027972936629,174.08071327218406,"triline_lstm_2l_k14 (distance weighted, fly-gated)",46,51.55545235761921,1,Louis_DER_AU050_eobs_3264__2023__southbound_01,2023,891.2436996715168,617.0258474194706,59,13,setup_10km,Louis / DER AU050 (eobs 3264),322.6763031690204,0.8122731876373291,117.33986289822452,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
1422.6460928288786,523.6755437586186,812.6196360664362,589.91800851182,direct_transformer_2l_k7,47.8112431,34.2576062,8.89145865,-6.580606,440.9706132988317,0.7987027972936629,437.8145274251752,"triline_lstm_2l_k14 (distance weighted, fly-gated)",83,55.614786674948434,1,Mirabell_plus_DER_AN910_eobs_3907__2019__southbound_01,2019,1925.77232282804,1496.1088755700018,139,56,setup_10km,Mirabell + / DER AN910 (eobs 3907),1323.2494885083736,0.8122731876373291,875.6217776827032,"triline_transformer_4l_k7 (distance weighted, fly-gated)"
