epochs_logged,k,last_test_delta_mse_norm,last_test_loss,last_test_unweighted_loss,last_train_direction_loss,last_train_distance_loss,last_train_loss,last_train_mean_distance_weight,last_train_unweighted_direction_loss,last_train_unweighted_distance_loss,min_test_delta_mse_norm,min_test_loss,min_test_unweighted_loss,min_train_direction_loss,min_train_distance_loss,min_train_loss,min_train_mean_distance_weight,min_train_unweighted_direction_loss,min_train_unweighted_distance_loss,model,setup,training_log
23,30,1.9627636682083776,,,,,0.0577374585317155,,,,1.8015617927649987,,,,,0.0577374585317155,,,,direct_mlp_sequence_k30,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_30\direct_mlp_sequence_k30\training_log.csv
36,30,1.692842088653508,,,,,0.1473577903952043,,,,1.593415385473678,,,,,0.1473577903952043,,,,direct_transformer_2l_k30,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_30\direct_transformer_2l_k30\training_log.csv
27,30,,3.0940252214174397,2.9586558967773664,0.1428400535074487,0.9929130367122164,1.4509259078947765,1.702171906966599,0.1709103954477363,1.015439829852797,,2.827303251805896,2.7972184276404533,0.1397379879975715,0.9929130367122164,1.448466680406863,1.7021719038817005,0.1699435581451423,1.006543290262522,triline_linear_ar_delta_k30,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_30\triline_linear_ar_delta_k30\training_log.csv
23,30,,4.52210723009656,4.043792076780703,0.060766132069879,0.2862115730419617,0.3459571418722544,1.7021719063055494,0.0697997706544597,0.3062111079803015,,2.8580253512052862,2.8378258813551307,0.0600722705645834,0.2839718890718964,0.3409014709445332,1.7021719038817005,0.0694168658579343,0.3062111079803015,triline_linear_ar_full_k30,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_30\triline_linear_ar_full_k30\training_log.csv
29,30,,3.716383681059325,3.6012036223067816,0.1153184449826943,0.4993528447728501,0.670965672861406,1.7021719065258991,0.131516317287787,0.5503152921768302,,2.140404250397039,2.0946397155578387,0.114281645296021,0.4993528447728501,0.670965672861406,1.7021719038817005,0.131516317287787,0.5503152921768302,triline_lstm_2l_k30,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_30\triline_lstm_2l_k30\training_log.csv
30,30,,3.1823771815203035,2.741048475290182,0.1956001475122852,0.843302358981642,1.233269729587816,1.7021719041020504,0.223906657956334,0.9184389782040044,,2.3026874730855837,2.14863906285679,0.1956001475122852,0.843302358981642,1.233269729587816,1.7021719038817005,0.223906657956334,0.9184389782040044,triline_transformer_2l_k30,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_30\triline_transformer_2l_k30\training_log.csv
25,30,,2.8775065266931783,2.9104674898101752,0.2279817206361598,1.0087362615987243,1.5222881620340118,1.7021719058648497,0.2688820742194622,1.079953638991675,,2.2046796773145467,2.093019473574739,0.2203743285921276,1.0087362615987243,1.5222881620340118,1.7021719038817005,0.2635882669257589,1.079953638991675,triline_transformer_3l_k30,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_30\triline_transformer_3l_k30\training_log.csv
27,30,,2.8243092507840086,2.7427771518939963,0.2549195707174854,1.0046279919566157,1.517016532460775,1.702171906966599,0.3028949196149152,1.074889195824727,,2.207978156930638,2.0815095178741623,0.2549195707174854,1.0046279919566157,1.517016532460775,1.7021719038817005,0.3028949196149152,1.074889195824727,triline_transformer_4l_k30,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_30\triline_transformer_4l_k30\training_log.csv
27,7,1.1206467929233437,,,,,0.1799358282127791,,,,1.0118317051396537,,,,,0.1799358282127791,,,,direct_transformer_2l_k7,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_7\direct_transformer_2l_k7\training_log.csv
24,7,,2.602303003686458,2.339128719185883,0.104892101510355,0.604090922123017,0.8195866095730558,1.8084568739580016,0.1225043807951909,0.7078189393580763,,2.0629074779160903,2.033149979506541,0.0997947133133674,0.5984972916202083,0.8195866095730558,1.808456873315364,0.1157773361011656,0.703830374379685,triline_linear_ar_full_k7,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_7\triline_linear_ar_full_k7\training_log.csv
26,7,,2.9788647430605,2.505327208022865,0.1338178554394174,0.5942991583173809,0.8379913870536414,1.8084568736366824,0.1555844143314181,0.682654789515904,,2.0002947059281757,1.7668339357864504,0.12970291469698,0.5942991583173809,0.8379913870536414,1.808456873315364,0.1493017097126762,0.6819789668299118,triline_lstm_2l_k7,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_7\triline_lstm_2l_k7\training_log.csv
27,7,,2.2620212016401267,2.017402879632708,0.1756555704334675,0.9126535287764516,1.3297743816581375,1.8084568736366824,0.2088211963600868,1.033763918915206,,2.0048573691889926,1.8315659758215648,0.1741119353678027,0.9126535287764516,1.3297743816581375,1.808456873315364,0.2074718615918789,1.033763918915206,triline_transformer_2l_k7,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_7\triline_transformer_2l_k7\training_log.csv
26,7,,2.3206814909881017,2.17289296250459,0.206074487970203,1.0139694101405594,1.5251468738134335,1.8084568736366824,0.2461231695513198,1.1333831487640216,,2.0130296171193494,1.8413263266941289,0.1962120151021731,1.0139694101405594,1.5251468738134335,1.808456873315364,0.2324702051289962,1.1333831487640216,triline_transformer_4l_k7,setup_30km,D:\UCSD\ECE 228\ECE-228-Project\DistanceWeightTune\setup_30km\k_7\triline_transformer_4l_k7\training_log.csv
