individual_local_identifier,date,temp_2m_celsius,temp_2m_celsius_max,temp_2m_celsius_min,wind_speed_10m,wind_direction_10m,surface_pressure_hpa,mean_sea_level_pressure_hpa,precipitation_mm,cloud_cover,boundary_layer_height,n_weather_points,era5_grid_distance_km_mean,era5_time_diff_hours_max
Mirabell + / DER AN910 (eobs 3907),2018-11-10,17.96476936340332,18.953766,16.56778,1.807067632675171,309.22894287109375,1016.6034545898438,1019.7678833007812,0.0,0.07916972041130066,486.13970947265625,30,10.428548596818453,0.3352777777777778
Mirabell + / DER AN910 (eobs 3907),2018-11-11,15.73560905456543,21.660309,11.800446,1.0899053812026978,156.0838623046875,1013.1322021484375,1015.4081420898438,0.0,0.39349254965782166,157.8160858154297,56,9.265788660443096,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-12,15.571160316467285,19.41397,11.743317,1.9495196342468262,209.05642700195312,1014.0699462890625,1014.849365234375,0.2322197,0.9001101851463318,318.8329162597656,53,8.304209341512594,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-13,18.93899154663086,20.276276,17.346832,1.992017388343811,142.3807830810547,1016.3092041015625,1017.0870361328125,0.0014305115,0.9342818856239319,498.6086120605469,31,8.222154671368754,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-14,19.372947692871094,23.383453,15.35611,1.3876417875289917,241.83847045898438,1008.4945678710938,1013.31201171875,0.019550323,0.0865335464477539,380.4888610839844,32,9.239323549934015,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-15,16.83449363708496,22.427643,11.464264,1.5653040409088135,157.09390258789062,1007.5179443359375,1013.7289428710938,0.08249283,0.0832911878824234,304.6178283691406,56,6.726548113047722,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-16,16.319398880004883,20.84439,11.716705,1.6565344333648682,162.85183715820312,1006.9608764648438,1013.1655883789062,0.0,0.8126959800720215,175.98684692382812,57,7.345771283626693,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-17,16.114013671875,20.640045,11.38736,2.7307450771331787,109.24178314208984,1003.33935546875,1011.3731079101562,0.030994415,0.7588337659835815,296.07476806640625,56,8.68882046978354,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-18,15.243817329406738,16.599762,13.618561,5.0838117599487305,172.27688598632812,990.5894165039062,1002.6747436523438,36.51905,0.8618233799934387,664.72216796875,57,6.417002261103423,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-19,14.34665584564209,15.575104,13.073395,5.016104221343994,253.28932189941406,988.6600952148438,1004.1415405273438,29.94299,0.8884962797164917,636.4827880859375,57,5.021152025524063,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-20,15.617374420166016,16.968414,14.146393,7.095314025878906,251.8383331298828,992.54296875,1008.0430297851562,17.279625,0.7363334894180298,991.03466796875,51,3.6985414230719167,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-21,15.39748764038086,17.046051,14.365814,3.1031057834625244,240.9289093017578,998.33203125,1013.8948364257812,46.812057,0.8898841142654419,507.197998046875,54,3.848286931479075,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-23,15.574967384338379,16.57193,13.506989,3.3699123859405518,314.3224182128906,1000.7732543945312,1016.367919921875,0.0,0.4487927258014679,692.2174072265625,25,5.988440206314555,0.34
Mirabell + / DER AN910 (eobs 3907),2018-11-24,16.488508224487305,17.438385,15.64151,3.530414581298828,205.8451385498047,1013.641357421875,1017.3955688476562,1.308918,0.4038707911968231,815.053466796875,26,10.62277167819951,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-25,17.94499397277832,19.130035,16.456696,5.374866008758545,233.16761779785156,1010.44287109375,1013.8324584960938,13.538837,0.9854060411453247,941.9708862304688,28,10.703674763539539,0.3352777777777778
Mirabell + / DER AN910 (eobs 3907),2018-11-26,15.13521671295166,17.329254,10.08902,3.1665472984313965,291.5235595703125,1017.4661254882812,1020.916015625,0.0,0.5669776201248169,903.4194946289062,36,11.08623873304888,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-27,14.237384796142578,17.035553,9.788971,2.4166226387023926,36.24201965332031,1019.9595336914062,1023.4126586914062,0.0,0.4662712812423706,330.029052734375,27,10.970555204543299,0.3388888888888889
Mirabell + / DER AN910 (eobs 3907),2018-11-28,14.560615539550781,17.66153,10.596344,1.5549724102020264,38.513267517089844,1019.5679321289062,1023.0119018554688,0.0,0.09248930960893631,213.42767333984375,29,10.80908576069898,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-29,16.583087921142578,17.468414,14.691315,2.563518762588501,224.55426025390625,1016.724365234375,1020.1557006835938,0.0,0.872032642364502,633.5333251953125,17,10.901979221789778,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-11-30,16.3648624420166,18.142975,12.440582,2.3936398029327393,244.4522705078125,1018.8321533203125,1022.272216796875,0.0,0.01163397915661335,640.5501098632812,27,10.828651524955994,0.3352777777777778
Mirabell + / DER AN910 (eobs 3907),2018-12-01,16.047386169433594,17.605865,12.609039,1.69465172290802,65.41702270507812,1021.1314697265625,1024.590576171875,0.0,0.7370463013648987,354.81866455078125,30,10.799751010290322,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-02,15.575966835021973,17.770416,12.662994,2.041548013687134,23.495641708374023,1020.6587524414062,1024.0986328125,0.0,0.6350463628768921,205.50918579101562,30,10.86567992790611,0.33555555555555555
Mirabell + / DER AN910 (eobs 3907),2018-12-03,13.14168643951416,19.17691,7.9447327,2.3057405948638916,31.09009552001953,1019.2797241210938,1022.7191162109375,0.0,0.5963829755783081,151.1790313720703,54,10.602221716081411,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-04,17.503326416015625,19.96817,15.038483,1.2260973453521729,184.39950561523438,1018.584716796875,1021.9931640625,0.0,0.0,165.98318481445312,2,10.634947468513358,0.01138888888888889
Mirabell + / DER AN910 (eobs 3907),2018-12-05,20.263473510742188,21.889557,18.238434,1.1462844610214233,139.31361389160156,1020.9229736328125,1024.3338623046875,0.0,0.0022145146504044533,162.59674072265625,23,10.387809845920039,0.3438888888888889
Mirabell + / DER AN910 (eobs 3907),2018-12-06,18.02305793762207,21.674225,13.108551,2.540921688079834,33.29560089111328,1022.5403442382812,1025.957275390625,0.0,0.0,198.86302185058594,28,10.277409355151361,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-07,16.334901809692383,19.041168,9.9339905,1.1425145864486694,89.8559799194336,1024.1722412109375,1027.6173095703125,0.0,0.0010690996423363686,181.25717163085938,31,10.218752721174381,0.3397222222222222
Mirabell + / DER AN910 (eobs 3907),2018-12-08,15.890158653259277,18.30606,11.173981,3.0372941493988037,28.10211181640625,1024.7083740234375,1028.17236328125,0.0,0.4998423159122467,429.1038513183594,30,10.445095376558141,0.3397222222222222
