fly_error_mean_km_delta_weather_minus_noweather,fly_error_mean_km_improved,fly_error_mean_km_noweather,fly_error_mean_km_weather,gated_fly_error_mean_km_delta_weather_minus_noweather,gated_fly_error_mean_km_improved,gated_fly_error_mean_km_noweather,gated_fly_error_mean_km_weather,gated_mean_error_km_delta_weather_minus_noweather,gated_mean_error_km_improved,gated_mean_error_km_noweather,gated_mean_error_km_weather,gated_median_error_km_delta_weather_minus_noweather,gated_median_error_km_improved,gated_median_error_km_noweather,gated_median_error_km_weather,gated_migration50_error_mean_km_delta_weather_minus_noweather,gated_migration50_error_mean_km_improved,gated_migration50_error_mean_km_noweather,gated_migration50_error_mean_km_weather,gated_p90_error_km_delta_weather_minus_noweather,gated_p90_error_km_improved,gated_p90_error_km_noweather,gated_p90_error_km_weather,gated_p95_error_km_delta_weather_minus_noweather,gated_p95_error_km_improved,gated_p95_error_km_noweather,gated_p95_error_km_weather,gated_stationary_error_mean_km_delta_weather_minus_noweather,gated_stationary_error_mean_km_improved,gated_stationary_error_mean_km_noweather,gated_stationary_error_mean_km_weather,k,kind,mean_error_km_delta_weather_minus_noweather,mean_error_km_improved,mean_error_km_noweather,mean_error_km_weather,median_error_km_delta_weather_minus_noweather,median_error_km_improved,median_error_km_noweather,median_error_km_weather,migration50_error_mean_km_delta_weather_minus_noweather,migration50_error_mean_km_improved,migration50_error_mean_km_noweather,migration50_error_mean_km_weather,model,model_family,p90_error_km_delta_weather_minus_noweather,p90_error_km_improved,p90_error_km_noweather,p90_error_km_weather,p95_error_km_delta_weather_minus_noweather,p95_error_km_improved,p95_error_km_noweather,p95_error_km_weather,setup,stationary_error_mean_km_delta_weather_minus_noweather,stationary_error_mean_km_improved,stationary_error_mean_km_noweather,stationary_error_mean_km_weather
0.05173761685466616,False,64.45985987295431,64.51159748980898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,direct_mlp_last,-0.19115234920042568,True,14.532650182491784,14.341497833291358,-0.45128685308175154,True,4.156576938495379,3.705290085413627,2.2943303823325465,False,88.16866011395291,90.46299049628546,direct_mlp_last_day_k1,direct,2.7187735198861205,False,38.73759594902693,41.45636946891305,-0.7888625433047451,True,73.49673627621252,72.70787373290777,setup_10km,-0.23139967353227142,True,6.259617607154647,6.028217933622376
1.9784371284280695,False,69.24878458742602,71.22722171585409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,direct_mlp_sequence,0.6756685587066436,False,17.91038211453166,18.586050673238304,0.6610681015581452,False,5.314644650435179,5.975712751993324,2.0246342795748262,False,93.88953343404918,95.91416771362401,direct_mlp_sequence_k30,direct,-0.2141768754148501,True,53.71066099234019,53.49648411692534,1.932294256706939,False,89.19467282793559,91.12696708464253,setup_10km,0.4328279261927843,False,8.340723758838633,8.773551685031418
5.076532922408845,False,90.03509633782052,95.11162926022936,5.309387961323239,False,90.50947354891866,95.8188615102419,0.3565340247465709,False,12.664712508492956,13.021246533239527,-0.0033616060238709222,True,0.8082727182331646,0.8049111122092937,7.018771731187002,False,101.43616820923523,108.45493994042224,1.4754148320743425,False,36.16859695482038,37.64401178689472,-4.4867394483288905,True,76.8655924458394,72.3788529975105,-0.20865651456247702,True,3.781526563939871,3.572870049377394,7,triline_transformer,0.4221459158880858,False,13.127720862849172,13.549866778737258,0.027972183317574117,False,1.4881598376932033,1.5161320210107774,7.031201151293288,False,100.89560962087928,107.92681077217257,triline_transformer_2l_k7,triline,0.35330609993717843,False,36.12907261932865,36.48237871926583,-4.54834644771752,True,76.8655924458394,72.31724599812188,setup_30km,-0.10898533410527733,True,4.351503841681273,4.242518507575996
4.563643014803873,False,88.77896901146944,93.34261202627331,4.754627584630782,False,89.28715330871546,94.04178089334624,0.40738930233045245,False,13.258564414633334,13.665953716963786,-0.01389077150400786,True,0.8082727182331646,0.7943819467291567,6.329231254825828,False,99.06858913611435,105.39782039094018,2.1495774518605373,False,38.678904683826666,40.8284821356872,-6.183836352696488,True,84.86371827281323,78.67988192011674,-0.1301530246925715,True,3.857518982916953,3.7273659582243814,14,triline_transformer,0.31720751942217973,False,13.871373426134808,14.188580945556987,-0.17089046787684237,True,1.8737806727777595,1.7028902049009171,6.186431265089567,False,98.6111201954278,104.79755146051737,triline_transformer_2l_k14,triline,1.5794505340629001,False,38.678904683826666,40.258355217889566,-7.021208025806999,True,84.86371827281323,77.84251024700623,setup_30km,-0.20787039660427098,True,4.608940445043638,4.401070048439367
3.4376744335416163,False,98.21329025416026,101.65096468770187,3.8537787610446514,False,98.40738726292408,102.26116602396873,0.1565669283319906,False,14.243623257629608,14.400190185961598,-0.018758811038524947,True,0.913077646627792,0.8943188355892671,4.371137883673896,False,111.99569754462104,116.36683542829493,1.5971408180969036,False,41.28048977090293,42.877630588999835,5.243806679181745,False,76.9959639921123,82.23977067129404,-0.30030556189937174,True,3.843324278782208,3.543018716882836,30,triline_transformer,0.28176328300086695,False,14.78239077544936,15.064154058450226,0.58641223510979,False,1.7531477917075962,2.339560026817386,3.8770379705380975,False,111.83408601950588,115.71112399004397,triline_transformer_2l_k30,triline,1.1919096187357,False,41.12596431224657,42.31787393098227,5.243806679181745,False,76.9959639921123,82.23977067129404,setup_30km,-0.10821950714902684,True,4.472653456688613,4.3644339495395865
4.648722587499549,False,97.31749501098896,101.96621759848851,4.484994769377408,False,97.7466867453423,102.23168151471971,0.3621265594029133,False,14.082776136770136,14.444902696173049,0.014868803132781938,False,0.9067717026281084,0.9216405057608903,5.01483769719988,False,110.9174547747442,115.93229247194408,3.206311362140781,False,37.64209618200013,40.84840754414091,-4.085743159070972,True,83.74379700951586,79.65805385044489,-0.1473452131692179,True,3.744245126988114,3.596899913818896,30,triline_transformer,0.4367765254797593,False,14.61901183964539,15.05578836512515,-0.0018028496525701598,True,1.974169683731788,1.9723668340792178,5.12307563980805,False,110.6250973885928,115.74817302840086,triline_transformer_3l_k30,triline,3.504879716631521,False,37.34352782750939,40.84840754414091,-4.085743159070972,True,83.74379700951586,79.65805385044489,setup_30km,-0.08370279059537378,True,4.399780793549977,4.316078002954603
10.00209666928464,False,88.49409178892684,98.49618845821148,9.672942832979658,False,89.00365501034216,98.67659784332182,0.45326236736732994,False,12.493121783664408,12.946384151031738,0.011172404893301846,False,0.7989740346881319,0.8101464395814337,13.013960194662502,False,99.54025149672904,112.55421169139154,-1.6133865503031473,True,36.97109853215178,35.35771198184863,-3.6301376785276602,True,75.52661444527313,71.89647676674547,-0.598833301381223,True,3.762190064103585,3.163356762722362,7,triline_transformer,0.41965219885156735,False,13.036031993724055,13.455684192575623,0.01700239954990379,False,1.62536994263418,1.642372342184084,13.310867541733273,False,99.0597829914134,112.37065053314667,triline_transformer_4l_k7,triline,0.8424823540004951,False,34.45330131471189,35.29578366871238,-4.110784287416223,True,75.52661444527313,71.4158301578569,setup_30km,-0.673839962939597,True,4.425202347424637,3.75136238448504
2.699138872155686,False,87.91399937422935,90.61313824638503,2.64064884442908,False,88.22535324712834,90.86600209155742,-0.01907148566399286,True,13.354196615902698,13.335125130238705,0.004943810437500473,False,0.8082727182331646,0.8132165286706651,3.9914495513087047,False,98.11305422236022,102.10450377366892,-1.073069553812367,True,44.230765599608105,43.15769604579574,-4.079190385053636,True,79.51743293466178,75.43824254960815,-0.34794976714438297,True,4.09626936440675,3.7483195972623666,14,triline_transformer,-0.03184789494398643,True,13.901337640570944,13.869489745626957,0.025285460371547108,False,1.6008254197816494,1.6261108801531965,4.0016467291094955,False,97.87252782195245,101.87417455106194,triline_transformer_4l_k14,triline,-0.747378639842772,True,42.69577353186285,41.948394892020076,-4.079190385053636,True,79.51743293466178,75.43824254960815,setup_30km,-0.36953837485921603,True,4.749564529936006,4.38002615507679
2.280819494165982,False,88.69294791137894,90.97376740554492,2.4045025215416587,False,89.10765903665929,91.51216155820094,0.06573565430096018,False,13.903965402912055,13.969701057213015,-0.012444122959521575,True,0.8979083327838877,0.8854642098243661,2.763133648717627,False,98.03509028948008,100.79822393819771,-0.18242562497666626,True,47.15226155827199,46.96983593329532,3.489218631459863,False,83.26480688538932,86.75402551684918,-0.22327084331238378,True,4.610881765927717,4.387610922615333,30,triline_transformer,0.04436488113942083,False,14.483113900607934,14.527478781747355,-0.1328816875742438,True,1.943928506214796,1.8110468186405522,2.556486495302181,False,97.75695186999975,100.31343836530193,triline_transformer_4l_k30,triline,0.05346132939980919,False,46.91637460389551,46.96983593329532,1.426147044799123,False,83.26480688538932,84.69095393018844,setup_30km,-0.23199866917226863,True,5.31284365420944,5.080844985037172
0.47410490681808426,False,92.01313575107731,92.4872406578954,0.44652772314506706,False,92.48483651069031,92.93136423383538,0.19155566839487648,False,12.452631190141826,12.644186858536703,0.008846145950587192,False,0.7989740346881319,0.8078201806387191,0.5710207966527321,False,104.6257963912147,105.19681718786744,-1.190062253850499,True,37.51953757670236,36.32947532285186,-2.3736437526447105,True,78.66304471732936,76.28940096468465,0.16245975824320658,False,3.319826979388544,3.4822867376317506,7,triline_lstm,0.12602026595559224,False,13.0181196450608,13.144139911016392,-0.06204037945677854,True,1.6978708497531618,1.6358304702963833,0.47970496553087116,False,104.28830546907754,104.76801043460841,triline_lstm_2l_k7,triline,-0.20624261702456437,True,35.93780808891856,35.731565471893994,-2.3736437526447105,True,78.66304471732936,76.28940096468465,setup_30km,0.08629889552684133,False,4.003673362692547,4.0899722582193885
