direct_final_rollout_error_km_delta_weather_minus_noweather,direct_final_rollout_error_km_improved,direct_final_rollout_error_km_noweather,direct_final_rollout_error_km_weather,direct_mean_rollout_error_km_delta_weather_minus_noweather,direct_mean_rollout_error_km_improved,direct_mean_rollout_error_km_noweather,direct_mean_rollout_error_km_weather,lstm_final_rollout_error_km_delta_weather_minus_noweather,lstm_final_rollout_error_km_improved,lstm_final_rollout_error_km_noweather,lstm_final_rollout_error_km_weather,lstm_mean_rollout_error_km_delta_weather_minus_noweather,lstm_mean_rollout_error_km_improved,lstm_mean_rollout_error_km_noweather,lstm_mean_rollout_error_km_weather,path_id,setup,transformer_final_rollout_error_km_delta_weather_minus_noweather,transformer_final_rollout_error_km_improved,transformer_final_rollout_error_km_noweather,transformer_final_rollout_error_km_weather,transformer_mean_rollout_error_km_delta_weather_minus_noweather,transformer_mean_rollout_error_km_improved,transformer_mean_rollout_error_km_noweather,transformer_mean_rollout_error_km_weather
247.8449249016537,False,564.7747111647825,812.6196360664362,22.08427486817743,False,567.8337336436425,589.91800851182,330.5459336224284,False,652.0232075930196,982.569141215448,263.29682929108594,False,486.6981105912686,749.9949398823545,Mirabell_plus_DER_AN910_eobs_3907__2019__southbound_01,setup_30km,741.5371172232483,False,411.8627496495338,1153.399866872782,544.7328634991067,False,376.78880586836897,921.5216693674756
123.91053357457469,False,484.5779073712068,608.4884409457815,18.219229667417494,False,288.5663818592773,306.7856115266948,27.629555857785874,False,500.21689462028513,527.846450478071,37.83785385901564,False,497.758354589361,535.5962084483766,Mirabell_plus_DER_AN910_eobs_3907__2020__southbound_01,setup_30km,343.75284406416586,False,327.2509793177736,671.0038233819395,245.52072483630388,False,404.81378939524654,650.3345142315504
-246.23316106538323,True,1824.6424974445983,1578.4093363792151,-242.58847755677607,True,1108.6981075656836,866.1096300089075,323.0780228160561,False,170.95969983937945,494.0377226554356,334.16360874735415,False,186.48443653370668,520.6480452810608,Sara_plus_DER_AU017_eobs_3941__2019__southbound_01,setup_30km,-440.46399383110554,True,734.5032337650018,294.0392399338963,-65.66066273872082,True,512.290292911593,446.6296301728722
1354.6823579914692,False,142.49757746504696,1497.1799354565162,899.1339048299968,False,139.17686346604583,1038.3107682960426,184.48349150383552,False,86.29179854507338,270.7752900489089,215.6077935563524,False,145.56192267376937,361.16971623012176,Sierit_DER_AN858_eobs2561__2020__southbound_01,setup_30km,-335.3874321891192,True,480.7076079734309,145.32017578431172,-102.01362873184394,True,349.3563491983942,247.34272046655025
616.0490960287781,False,132.11301598264183,748.1621120114199,425.06430344371404,False,151.45955280235043,576.5238562460645,107.98817967414391,False,186.91340295267815,294.90158262682206,106.36296495816933,False,187.9049108713937,294.267875829563,Sierit_DER_AN858_eobs2561__2021__southbound_01,setup_30km,-297.6863693547775,True,359.2261044079078,61.53973505313028,-102.36496392474218,True,224.7528747440347,122.38791081929251
263.72741080048786,False,135.44705822016002,399.1744690206479,160.42173100158897,False,77.64368228641924,238.0654132880082,-36.1128318987291,True,259.0451595651487,222.9323276664196,-6.215249384746443,True,162.6357618867526,156.42051250200615,Zozu_plus_DER_AL581_eobs2541__2019__southbound_01,setup_30km,-423.39190599999284,True,621.3279131789051,197.93600717891223,-318.4397925860138,True,434.5695349280972,116.1297423420834
-381.69312977109735,True,1350.9851359229417,969.2920061518444,-294.15754313537207,True,1038.4228661588586,744.2653230234865,4.048271068538256,False,88.1706653996608,92.21893646819906,81.4207741478885,False,94.5811670768588,176.0019412247473,Zozu_plus_DER_AL581_eobs2541__2020__southbound_01,setup_30km,-362.0756175231475,True,692.0790546500562,330.00343712690864,-147.4277912723549,True,497.75589346646166,350.32810219410675
2316.643319340015,False,589.7574693247294,2906.400788664744,1095.3979858831617,False,618.2646509045868,1713.6626367877486,236.05031646848107,False,259.1714104681712,495.22172693665226,297.2307542004932,False,258.12716380816204,555.3579180086552,Angela_DER_AY470_eobs_4001__2019__southbound_01,setup_10km,319.6360270986901,False,64.70863504083711,384.3446621395272,56.759337921930495,False,216.7134980007455,273.472835922676
-101.38718538135541,True,338.8508576709966,237.4636722896412,6.928594007666021,False,190.7407691203917,197.6693631280577,997.0470843889464,False,145.68574045887024,1142.7328248478166,796.8104926487397,False,192.84963490814053,989.6601275568802,Angela_DER_AY470_eobs_4001__2020__southbound_01,setup_10km,-40.583479488853186,True,699.8698660015478,659.2863865126947,-144.53862934939684,True,819.361186872253,674.8225575228562
-347.9419323607168,True,396.0235769842237,48.08164462350689,-59.229031880704596,True,177.79151920049716,118.56248731979257,-176.06760116686974,True,1557.7929947994485,1381.7253936325787,-100.88703144299734,True,883.6022948479732,782.7152634049759,Angela_DER_AY470_eobs_4001__2022__southbound_01,setup_10km,-260.27830254985065,True,1412.9999518831276,1152.721649333277,-104.61499554585009,True,822.372144002874,717.757148457024
3.54365231253513,False,430.2723857190642,433.8160380315993,-28.971522399307673,True,402.22580152985824,373.2542791305506,95.02609193878504,False,688.539333143315,783.5654250821001,18.590498249735447,False,445.8720760647951,464.46257431453057,Angela_DER_AY470_eobs_4001__2023__southbound_01,setup_10km,-639.2356406732299,True,951.5900604682158,312.354419794986,-265.3953789812626,True,538.2316861343419,272.8363071530793
755.1197287188454,False,299.67349012391486,1054.7932188427603,412.8099878830746,False,317.88427872072504,730.6942666037996,-121.4948355917885,True,697.8282305381574,576.3333949463689,-60.95432885561172,True,532.4934025066694,471.5390736510577,Ed_plus_AAL16_e-obs_7210__2021__southbound_01,setup_10km,-414.5532004549245,True,833.8394794279997,419.2862789730752,-358.3136139281586,True,738.9756896737141,380.6620757455555
